Time,Temperature,Pressure1,Sound,Light,Pressure2,Humidity,Comment
, C, kPa, dBA, lx, kPa, %RH,
9.13,32.5,101.1,40,68,97.92,47.7,
9.15,32.4,101.1,40,68,97.93,47.9,
9.17,32.2,101.1,40,68,97.94,48,
9.19,32.3,101.1,71.2,68,97.91,48.2,
9.21,32.2,101.1,64.7,68,97.94,48.1,
9.23,32.5,101.1,64.6,68,97.89,47.7,
9.24,32.5,101.1,75.1,68,97.93,47.5,
9.26,32.6,101.1,68.9,68,97.91,47.4,
9.28,32.8,101.1,40,68,97.93,47.3,
9.3,32.2,101.3,75.5,68,97.94,47.1,
9.32,32.4,101.3,40,68,97.92,47,
9.34,32.2,101.3,40,68,97.95,46.9,
9.36,32.2,101.3,40,68,97.93,46.9,
9.38,32.4,101.1,40,68,97.95,46.9,
9.4,32.6,101.1,40,68,97.94,46.9,
9.42,32.8,101.3,40,68,97.96,46.9,
9.44,32.5,101.3,40,68,97.95,46.9,
9.46,32.8,101.3,40,68,97.95,46.9,
9.48,32.6,101.5,40,68,97.93,46.9,
9.49,32.8,101.3,40,68,97.93,46.8,
9.51,32.6,101.5,40,68,97.94,46.8,
9.53,32.4,101.5,40,68,97.94,46.8,
9.55,32.5,101.5,62.5,68,97.93,46.7,
9.57,32.5,101.3,66.7,68,97.92,46.7,
9.59,32.4,101.5,40,68,97.95,46.7,
10.01,32.5,101.3,63.8,63,97.97,46.7,
10.03,32.5,101.5,40,61,97.93,46.7,
10.05,32.6,101.5,74.2,61,97.94,46.7,
10.07,32.4,101.5,70,61,97.95,46.7,
10.09,32.7,101.5,47.5,61,97.96,46.7,
10.11,32.6,101.5,40,61,97.93,46.7,
10.12,32.5,101.5,62,61,97.93,46.7,
10.14,32.6,101.5,40,56,97.93,46.7,
10.16,32.4,101.5,65.3,59,97.92,46.8,
10.18,32.7,101.5,53.7,59,97.96,46.9,
10.2,32.2,101.5,68,56,97.93,46.9,
10.22,32.7,101.6,40,61,97.91,47,
10.24,32.4,101.5,40,61,97.93,47.2,
10.26,32.4,101.6,59.3,60,97.92,47.4,
10.28,32.5,101.5,65.9,61,97.92,47.5,
10.3,32.5,101.5,66.6,61,97.94,47.6,
10.32,32.8,101.5,62.2,61,97.95,47.7,
10.34,32.7,101.5,70.4,60,97.93,47.7,
10.36,33,101.5,40,61,97.93,47.7,
10.37,32.7,101.6,68.1,61,97.94,47.5,
10.39,32.7,101.6,76.9,58,97.91,47.4,
10.41,33.2,101.6,58.1,61,97.93,47.4,
10.43,33.1,101.8,71.3,62,97.92,47.4,
10.45,33.2,101.6,76.2,60,97.92,47.2,
10.47,33.5,101.6,57.6,62,97.96,47.1,
10.49,33.4,101.8,40,59,97.98,47,
10.51,33.6,101.6,54.5,61,97.95,46.9,
10.53,33.7,101.6,49.9,60,97.96,46.8,
10.55,33.7,101.6,40,58,97.96,46.9,
10.57,33.7,101.6,74.7,58,97.95,46.8,
10.59,33.3,102,59.1,56,97.93,46.9,
